iter	Passed	Remaining
0	2	2740
1	4	2066
2	5	1819
3	7	1800
4	10	2045
5	11	1981
6	13	1909
7	15	1877
8	17	1892
9	20	2025
10	23	2088
11	24	2043
12	26	2008
13	27	1951
14	29	1909
15	30	1867
16	31	1835
17	33	1835
18	35	1810
19	36	1782
20	37	1769
21	39	1757
22	41	1748
23	43	1768
24	45	1767
25	46	1755
26	48	1738
27	49	1731
28	51	1718
29	52	1701
30	53	1682
31	55	1665
32	57	1682
33	58	1671
34	61	1682
35	62	1667
36	64	1671
37	65	1659
38	66	1648
39	68	1642
40	70	1651
41	71	1640
42	73	1633
43	75	1637
44	76	1633
45	79	1641
46	81	1653
47	84	1675
48	87	1707
49	89	1697
50	90	1688
51	91	1676
52	93	1664
53	94	1653
54	95	1641
55	96	1632
56	98	1627
57	99	1616
58	101	1611
59	102	1601
60	104	1605
61	105	1597
62	106	1589
63	108	1581
64	109	1575
65	111	1575
66	112	1571
67	114	1565
68	119	1615
69	120	1607
70	123	1613
71	124	1608
72	126	1601
73	127	1597
74	129	1598
75	130	1591
76	132	1586
77	133	1579
78	135	1574
79	136	1568
80	137	1565
81	139	1564
82	140	1552
83	141	1548
84	143	1545
85	144	1540
86	146	1537
87	147	1532
88	148	1524
89	150	1519
90	152	1521
91	153	1514
92	154	1505
93	156	1504
94	156	1495
95	158	1496
96	160	1490
97	161	1485
98	162	1479
99	164	1482
100	166	1481
101	169	1492
102	172	1499
103	175	1508
104	177	1509
105	178	1506
106	181	1514
107	183	1517
108	185	1513
109	186	1507
110	188	1511
111	190	1510
112	191	1506
113	193	1506
114	196	1510
115	197	1505
116	198	1501
117	200	1499
118	201	1494
119	203	1489
120	205	1490
121	207	1495
122	210	1499
123	215	1518
124	216	1515
125	217	1511
126	219	1508
127	221	1508
128	222	1504
129	225	1507
130	226	1503
131	227	1497
132	229	1495
133	230	1492
134	232	1492
135	234	1488
136	235	1485
137	238	1488
138	239	1486
139	241	1485
140	243	1481
141	244	1479
142	246	1474
143	247	1472
144	248	1467
145	251	1468
146	252	1466
147	254	1463
148	255	1458
149	256	1453
150	257	1450
151	259	1446
152	261	1445
153	263	1446
154	264	1442
155	265	1437
156	267	1433
157	268	1433
158	270	1430
159	273	1436
160	276	1441
161	280	1449
162	281	1446
163	283	1445
164	285	1443
165	286	1440
166	287	1436
167	289	1432
168	290	1428
169	291	1424
170	292	1420
171	294	1415
172	295	1412
173	297	1411
174	298	1409
175	300	1408
176	303	1409
177	304	1406
178	306	1404
179	308	1404
180	309	1402
181	311	1398
182	312	1393
183	313	1390
184	314	1386
185	316	1383
186	317	1379
187	318	1376
188	319	1372
189	321	1369
190	322	1367
191	323	1363
192	325	1359
193	326	1356
194	327	1352
195	329	1349
196	330	1347
197	331	1344
198	333	1342
199	335	1340
200	336	1338
201	338	1337
202	341	1339
203	342	1336
204	343	1333
205	345	1329
206	346	1326
207	348	1326
208	349	1322
209	350	1319
210	352	1316
211	353	1313
212	354	1311
213	356	1308
214	357	1305
215	359	1303
216	360	1300
217	361	1297
218	363	1295
219	364	1292
220	366	1290
221	367	1288
222	369	1286
223	370	1283
224	371	1280
225	373	1278
226	375	1277
227	376	1276
228	378	1274
229	380	1273
230	381	1270
231	382	1267
232	384	1264
233	385	1262
234	386	1259
235	388	1256
236	389	1254
237	391	1252
238	392	1249
239	393	1247
240	395	1244
241	396	1242
242	398	1241
243	400	1239
244	401	1237
245	403	1235
246	404	1233
247	406	1232
248	407	1230
249	409	1227
250	411	1227
251	412	1224
252	413	1221
253	415	1219
254	416	1216
255	417	1214
256	419	1213
257	421	1211
258	422	1208
259	423	1205
260	424	1202
261	426	1200
262	427	1198
263	430	1200
264	433	1202
265	435	1200
266	439	1205
267	440	1203
268	442	1203
269	444	1201
270	446	1200
271	448	1199
272	450	1198
273	451	1197
274	454	1197
275	456	1197
276	459	1198
277	462	1201
278	465	1201
279	467	1201
280	471	1205
281	472	1204
282	474	1202
283	477	1203
284	479	1202
285	481	1203
286	483	1201
287	487	1205
288	489	1204
289	491	1203
290	494	1205
291	498	1208
292	502	1213
293	505	1213
294	506	1211
295	508	1209
296	511	1209
297	512	1208
298	514	1206
299	516	1205
300	520	1208
301	522	1208
302	524	1205
303	527	1206
304	529	1207
305	531	1205
306	536	1210
307	538	1209
308	539	1207
309	542	1207
310	544	1205
311	545	1203
312	547	1201
313	549	1200
314	551	1200
315	554	1200
316	556	1199
317	560	1202
318	562	1200
319	567	1205
320	568	1203
321	571	1202
322	573	1201
323	575	1199
324	576	1197
325	578	1195
326	581	1195
327	582	1194
328	585	1194
329	589	1197
330	591	1196
331	593	1194
332	595	1192
333	600	1197
334	602	1195
335	604	1194
336	607	1195
337	609	1193
338	611	1191
339	612	1189
340	614	1188
341	617	1187
342	619	1186
343	621	1185
344	624	1185
345	626	1184
346	629	1185
347	632	1185
348	635	1184
349	636	1182
350	639	1181
351	640	1179
352	643	1178
353	646	1180
354	648	1177
355	650	1176
356	653	1176
357	655	1175
358	658	1175
359	660	1173
360	664	1176
361	666	1175
362	669	1175
363	671	1174
364	673	1171
365	675	1169
366	678	1169
367	679	1167
368	682	1166
369	683	1164
370	686	1164
371	689	1164
372	691	1161
373	692	1159
374	695	1158
375	697	1157
376	699	1155
377	700	1152
378	703	1152
379	704	1149
380	706	1147
381	708	1145
382	709	1143
383	712	1143
384	715	1142
385	718	1143
386	720	1141
387	723	1140
388	727	1142
389	728	1140
390	731	1138
391	732	1135
392	734	1133
393	736	1132
394	737	1130
395	739	1128
396	741	1125
397	742	1123
398	745	1122
399	747	1120
400	748	1118
401	750	1116
402	752	1114
403	754	1113
404	756	1111
405	758	1109
406	760	1108
407	762	1106
408	764	1104
409	765	1101
